,SimpleFull,SimpleBias,SimpleDrift,SimpleNull
1,14166.36208,14162.16007,14163.22528,14159.73813
2,14954.44697,14955.74434,14951.32957,14953.80626
3,14543.87623,14541.92662,14537.33191,14537.14738
4,13987.64757,13984.7121,13987.01491,13986.70433
5,14440.24778,14440.21618,14443.27936,14439.82429
6,14384.22335,14382.34725,14380.06696,14380.09416
7,14765.66417,14763.8502,14765.97623,14764.45823
8,14320.09879,14318.9073,14315.21056,14316.16933
9,14647.49904,14646.79108,14643.65005,14642.43509
10,13986.78694,13984.97376,13987.97061,13984.56186
11,14625.17599,14625.66621,14625.34621,14623.09221
12,14228.67822,14228.86946,14228.90775,14223.64137
13,14683.55952,14683.52853,14684.40912,14682.86238
14,14275.08243,14267.14456,14265.02689,14266.20371
15,14487.87463,14483.37125,14483.47878,14484.08887
16,14568.78103,14566.62437,14563.37488,14562.2378
17,14644.12374,14638.93722,14645.71952,14642.2139
18,14573.28351,14573.68398,14570.48518,14570.15072
19,14308.41974,14309.83721,14306.7062,14309.79297
20,14119.12722,14116.92251,14117.98441,14113.61994
21,14169.5572,14169.50138,14172.48866,14165.70118
22,14862.27104,14856.82576,14858.04429,14855.34097
23,14290.61437,14285.92834,14286.91589,14284.79113
24,14137.72153,14140.27831,14138.47614,14133.63547
25,14022.60503,14013.12303,14014.48596,14010.50247
26,14098.14302,14094.80292,14093.86671,14090.75297
27,14390.88175,14389.22077,14394.34145,14393.63167
28,14500.42573,14497.90761,14499.56507,14494.03554
29,14252.51656,14256.34562,14250.00687,14255.0088
30,14090.65625,14085.17757,14081.26498,14077.23913
31,14764.88448,14754.82664,14756.57562,14753.44857
32,14278.40342,14281.13224,14279.41495,14275.77455
33,14657.57463,14655.85682,14655.89298,14654.71464
34,14193.06306,14194.19583,14191.39517,14192.18884
35,14321.96229,14319.57199,14317.32233,14314.77423
36,14332.76915,14336.10491,14335.51377,14337.02475
37,14818.48382,14815.82951,14817.26408,14812.38058
38,14635.6522,14624.9413,14626.83752,14628.50215
39,14561.91918,14559.01843,14562.92483,14557.676
40,14351.97313,14348.95402,14349.52431,14349.03349
41,14371.37551,14368.98232,14372.80302,14367.57346
42,14614.56947,14617.79854,14611.1537,14615.4882
43,14305.67801,14298.19038,14301.09236,14297.20448
44,13781.89249,13777.90388,13779.49209,13776.17526
45,14399.94374,14395.56195,14396.68169,14393.69113
46,14122.04388,14116.58894,14120.71209,14119.20142
47,14396.97356,14397.51204,14392.14326,14395.52279
48,14384.22786,14382.75439,14379.6558,14378.22092
49,14375.94817,14376.76922,14376.1855,14383.9109
50,14114.2324,14116.2877,14110.21643,14109.7632
51,14802.83682,14798.108,14793.56068,14793.28695
52,14068.4792,14066.11517,14068.76602,14065.75792
53,14410.06442,14409.66158,14406.15106,14405.26681
54,14304.60788,14298.00624,14304.83234,14296.98383
55,14245.42349,14242.20364,14239.38835,14240.08971
56,14175.38264,14170.62833,14173.54087,14171.64286
57,15005.72516,15007.43524,15001.60148,15006.91627
58,14576.29582,14577.6377,14574.35716,14579.43523
59,14654.15267,14651.14864,14653.92508,14646.93387
60,14255.53929,14253.22762,14257.70754,14256.102
61,14141.78151,14138.94356,14139.37756,14137.2733
62,14834.0518,14830.31749,14830.83649,14824.85635
63,14601.21451,14608.02954,14604.99469,14605.62122
64,14056.84987,14055.88317,14056.29025,14060.61044
65,14395.7352,14397.90448,14400.50289,14396.32965
66,14233.14407,14226.92983,14229.43058,14228.4034
67,14508.28178,14505.84381,14505.09209,14503.6773
68,14379.91486,14374.24113,14377.25155,14373.48958
69,14621.81682,14617.74441,14621.42835,14615.24205
70,14231.83278,14224.21321,14222.66392,14221.74906
71,14765.58963,14762.41304,14764.03516,14759.54993
72,13969.0622,13966.95621,13969.04002,13969.66216
73,14288.99702,14291.75699,14290.05679,14284.78128
74,14245.77924,14245.24256,14246.28135,14240.51196
75,14293.72991,14290.62878,14293.36985,14288.06021
76,14424.78744,14420.76904,14421.19312,14424.47068
77,14934.50025,14927.85942,14929.93449,14927.30657
78,14538.40007,14530.11507,14532.34319,14529.21065
79,14482.9245,14486.34904,14482.76437,14481.67615
80,14367.03713,14365.8947,14368.63361,14365.51676
81,14388.68104,14385.97942,14385.35746,14385.61047
82,14844.85498,14843.99864,14846.28986,14841.2558
83,14435.26069,14431.25136,14432.44272,14427.57589
84,13857.27956,13854.03849,13851.29161,13849.40278
85,14144.68685,14140.29412,14139.02389,14139.39981
86,14443.12627,14440.53112,14442.46831,14442.77216
87,14618.74975,14616.02865,14620.64602,14613.3408
88,14613.3265,14616.00034,14606.95322,14614.81951
89,14263.41016,14261.49493,14259.7512,14258.06461
90,14236.6591,14237.88575,14237.37531,14236.34477
91,14632.41679,14634.05669,14632.52399,14627.86465
92,14198.89802,14198.76144,14193.64376,14194.83736
93,14597.93184,14595.75971,14593.23273,14592.38561
94,14041.67198,14037.81233,14039.81432,14033.1169
95,14389.07563,14389.63003,14384.87827,14384.20416
96,14684.96778,14684.23254,14683.19018,14682.97138
97,14703.33738,14704.93592,14698.6004,14696.49548
98,14841.80313,14835.71977,14841.97148,14839.62311
99,14403.91225,14397.55405,14397.35452,14403.76282
100,14212.58436,14209.73289,14214.27953,14207.83515