,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.3710834625229151,0.047594488998546944,2.2778237109769188,2.3401912575347374,2.370072593919768,2.4019750190534208,2.4659653450257339,0.00053467899080605994
a_std,0.2334491719554726,0.039561068168183139,0.16826719347545083,0.20562490680908063,0.22886523067604098,0.25701317093933518,0.32238321270689319,0.00047445698664524131
a_subj.2013,2.4318465517164722,0.092376777815794148,2.2578615205404029,2.3681688020535576,2.4287315618343333,2.493218605812892,2.620772052963376,0.0011902177792141174
a_subj.2015,2.3231655475805408,0.099636397407914704,2.1379860646320044,2.2539746730062897,2.3189607963686707,2.3882564275203464,2.5238881947502039,0.0011967320799719115
a_subj.2016,2.1043938637992294,0.087368013841420303,1.9397825681066783,2.0458127220780735,2.1024071714880228,2.1602355583863808,2.2837628638488288,0.0010646463434555542
a_subj.2017,2.4712473373167225,0.098581522940636476,2.2832589341380474,2.4031425937986479,2.4686465003750047,2.5359766039934266,2.6725603969384824,0.0013278938210452276
a_subj.2018,2.3956045870474285,0.09628983116441063,2.2125942132203527,2.3304919140846696,2.3924890004785615,2.4581354454916244,2.5898821468754707,0.0011218148737140653
a_subj.2019,2.3989195281101767,0.097008540687313655,2.2177281882617708,2.3314085681532166,2.3958196585936848,2.4628575429894952,2.5983831568910634,0.0011198229928130565
a_subj.2020,2.588651093091292,0.10180549389401178,2.3990750480687697,2.5193948692433459,2.5847911408062285,2.6546437564757936,2.7955943607883182,0.0011641534310004985
a_subj.2021,2.4733612963156042,0.09677603109892928,2.2930334544963209,2.4070988447797927,2.4714788998280657,2.5360955625771209,2.6708124470227488,0.0012566537138331063
a_subj.2022,2.6024998842755305,0.10715535238451317,2.4060139311935553,2.5264682976553643,2.5982872953239511,2.6727915795704358,2.8220711640483787,0.0012605652361234712
a_subj.2024,2.2456377776876941,0.092031519861546215,2.0710364575040554,2.1830503348785699,2.2433005105351729,2.3071339057671691,2.4338763436757782,0.0011238142234584125
a_subj.2027,2.0820848609057911,0.082438398002769059,1.928205192760609,2.0263698256844922,2.0800086617746731,2.1358842300812788,2.2472912299443863,0.0010691169067324788
a_subj.2028,2.4183166153160083,0.099638606840888072,2.2318348001614465,2.348456485713335,2.4148887380286035,2.4842790268363908,2.6181507824292396,0.0012191691711013165
a_subj.2029,2.2507748233954894,0.088615550520454792,2.085366322175036,2.189775846811898,2.2490898291161345,2.3088849326098906,2.4287077237594126,0.00096230217237838875
a_subj.2030,2.4304049772149101,0.093587181340539102,2.2538329613684471,2.3664446776428569,2.4285980241949692,2.4923881789505682,2.6208887070492999,0.00097255037547685813
a_subj.2031,2.0937778383625387,0.082153936310047873,1.9353534905517198,2.0368731705076479,2.0929705567969306,2.148745644714384,2.2575287296085684,0.00094177441705868559
a_subj.2032,2.662978715372152,0.10279281814299863,2.4715930003559889,2.5924147889822096,2.6598336132314131,2.7300840799538162,2.8765512657263939,0.0013270613176140408
a_subj.2033,1.7981423994961332,0.077811376785428446,1.6529530336293699,1.7437844696634397,1.7970731280549133,1.8497253111346275,1.9548617138860871,0.00089043851543733931
a_subj.2034,2.5177237390969753,0.099007620796242798,2.3318799413326516,2.4494959526384741,2.5138903922090305,2.583060727172934,2.7224408396131055,0.0011708866651258406
a_subj.2035,2.5167853089786325,0.101031091341928,2.3278097064259784,2.4471951321056453,2.5151750896563456,2.582380224685962,2.727100606016569,0.0010628992055454576
a_subj.2036,2.4205189237961466,0.095115005296488656,2.2434599607582535,2.354766501172878,2.4186469735709233,2.4827788292874531,2.6134050189701616,0.001077157784157325
a_subj.2038,2.3557484209158313,0.099612720849311789,2.1632947829600013,2.2873065779454373,2.3525135158309767,2.4225031532986927,2.5557394368257089,0.0010953104632416845
a_subj.2039,2.1120601693519259,0.081449712914785283,1.9587117026629521,2.0560734461187908,2.1094473680460442,2.1654198450408915,2.2777145309891274,0.00084142042231646257
a_subj.2040,2.5069548833996351,0.099518673554086168,2.3254407322501804,2.4390749003330656,2.502540493683016,2.5724471515891345,2.714955667434336,0.0011395993791162204
a_subj.2041,2.408878833538779,0.092051580383660847,2.2349912768621341,2.3450715800885962,2.4070067241333,2.46994140972404,2.5961828256745472,0.00090523643873522352
a_subj.2042,2.423609632326877,0.10014998547410622,2.2324649221871211,2.3537282340236327,2.422361443457131,2.4896339717335247,2.6285637043825973,0.0012954127205953797
a_subj.2043,2.3626471861386169,0.089708204901547184,2.1927260461658573,2.3001545319291026,2.3600871425791419,2.4236611899597018,2.5431229100225314,0.00099175083039897377
a_subj.2044,2.3051612792867235,0.089514005883779557,2.1351436448887351,2.2434951762774866,2.3028524399182162,2.3639406223269122,2.4837435559547401,0.0010288217333052801
a_subj.2045,2.2458133109121214,0.091296078965952848,2.0746812553296889,2.1825346754244088,2.2433646120379254,2.3050218048949782,2.4341421453719088,0.0010902856909888914
a_subj.2046,2.7777661727640375,0.10751404354631232,2.5718622350840961,2.7045249372822089,2.7759793411146187,2.8480877001677873,2.9969639320314232,0.0010775390651406444
a_subj.2047,2.4190233994147037,0.093839313782836442,2.2414470628636134,2.3547265746003472,2.4163917467989613,2.4803039287014252,2.6097536182120926,0.0010755134233934734
t,0.54114696637713033,0.044438891929764142,0.46088375415516047,0.51100141475799088,0.53915767796734881,0.56887122357473674,0.63718778620901406,0.00053065713907742961
t_std,0.24072843955688975,0.040483203418688718,0.17704399121325037,0.21291608708109447,0.23518032096896951,0.26262288280384238,0.33646020062313287,0.00052413596704708229
t_subj.2013,0.49198673860842945,0.02231549072137751,0.44252574075599649,0.47841963341588145,0.49415536927553572,0.50799786407151848,0.52928132602342537,0.00031274911063221316
t_subj.2015,0.56229243922424699,0.019928245384772909,0.51952191072507803,0.54981348463781832,0.56378594559068351,0.57621466015075873,0.59732601567254617,0.00025525597967746754
t_subj.2016,0.71831276853891213,0.018280390444560351,0.67947617635500923,0.70667743064485145,0.71976983314253107,0.73132325617929761,0.75032195467096952,0.00021398161802999773
t_subj.2017,0.59206755664346666,0.025320764964205246,0.53736686371862596,0.57593279821684185,0.59398156580458517,0.60993398430890899,0.63686227391029759,0.00032144919940188722
t_subj.2018,0.61434151228730349,0.022305070296575785,0.56620304113336739,0.60076931204741191,0.61601821908865617,0.62969988721261638,0.65286249593889967,0.00027673872379005833
t_subj.2019,0.5748751006851861,0.023658023920646646,0.52321277634199592,0.56027891280092035,0.57676196425944593,0.59162465117578888,0.61517488782794438,0.00027645073869371104
t_subj.2020,0.65101436948687019,0.022188805894030147,0.60250863011386446,0.63748339393910747,0.65308198295685238,0.66661446519163225,0.68821469575200123,0.00024839651705060005
t_subj.2021,0.53050711181277943,0.026910303480538179,0.47144778993201253,0.51385085048214629,0.53249727750587594,0.54936931771538222,0.57765212982519876,0.00034687386686935119
t_subj.2022,0.89043410842457815,0.02284265909385038,0.83989472931283571,0.87662568027041821,0.89242947221977087,0.90673995784024874,0.92926046140160412,0.00025591021767193731
t_subj.2024,0.58293692320255286,0.022402469048176117,0.53474790756259716,0.5688225150056867,0.58473941693198861,0.59866234258042028,0.62251897614824625,0.00027883128112073509
t_subj.2027,0.57461249022689731,0.017640023528885135,0.53725762859324022,0.56359882796319516,0.57593847548128629,0.58713971850697078,0.60491627969380635,0.00020900910805242176
t_subj.2028,0.53258150140648275,0.024342510730543884,0.48055079850248733,0.51736473032766117,0.53450726047127239,0.54965295194580877,0.57470011288075318,0.00030142551649575748
t_subj.2029,0.67555260036392373,0.018464956664516887,0.63425347588813374,0.66417861811904977,0.67742498851256017,0.68854033852944585,0.70670938978971454,0.00022118072326067685
t_subj.2030,0.51383257815536765,0.017824971945952572,0.47359023254182042,0.50330969095236333,0.51571544702784711,0.52651348675155796,0.54309160152474778,0.00020468405589721866
t_subj.2031,0.50858070662374955,0.014028930835119465,0.47687048023028894,0.50003895723554637,0.50996099536719608,0.51857958743171662,0.53148844436580345,0.00015873428012664795
t_subj.2032,0.51373485867063817,0.020840936012073579,0.46858427709378381,0.50072862018608999,0.51536057455340745,0.52894515050114221,0.54892682852427566,0.00026142669475660569
t_subj.2033,0.48675892892618533,0.012098596531861874,0.45964355304270571,0.47939132868671552,0.4878759212620889,0.4954992476552974,0.50715635832571648,0.00014132046051583961
t_subj.2034,0.40309323583653167,0.019288356518051612,0.35910354511770326,0.39179133661086729,0.40504049131061826,0.41688587379231745,0.43463603277538315,0.00022453428011434614
t_subj.2035,0.53963416658448116,0.017963556771553466,0.49955525467291939,0.52886811230890873,0.5415116301346824,0.55255524013710533,0.56907973740373508,0.0001931386323396909
t_subj.2036,0.59489439726036863,0.020923319901318956,0.54989666336429899,0.58172272381044354,0.59645589043231617,0.60976434749471131,0.63075613388531293,0.00023937265964529304
t_subj.2038,0.34616166294928602,0.014729501085615038,0.31257154568575185,0.3372762232966155,0.34780410643096193,0.35660134034579449,0.37063974059835159,0.00015633972626456462
t_subj.2039,0.46853090868803088,0.015241910469942183,0.43481604792563822,0.45911635386483896,0.47005352868570149,0.47944872296277813,0.49405444786129032,0.00015312179098456657
t_subj.2040,0.5967121244164012,0.01981227828945727,0.55180837608195243,0.58478978823557515,0.59864471841477385,0.61122105340062804,0.62932948092266294,0.00024261461928943838
t_subj.2041,0.64238902089561756,0.022644893713492022,0.59317008170084862,0.62862562531176602,0.64448880247503659,0.6583543045697029,0.68083136142906564,0.00024339890388176233
t_subj.2042,0.69975467468622898,0.028336801907779412,0.64005423110052084,0.68186431579323548,0.70122533351435834,0.71979846390580027,0.75130228461238535,0.00036431717477632586
t_subj.2043,0.61861380147255718,0.022089977716229565,0.5698431588213988,0.60513311021413696,0.62036067587450561,0.63417575500490864,0.65680946057693257,0.0002605261443431362
t_subj.2044,0.48585504586057715,0.015283896591798922,0.4509984030223213,0.47649073260690961,0.48750510065475133,0.4968148156657195,0.51125414390234558,0.00016312605654709983
t_subj.2045,0.5223571600095861,0.016115601975782174,0.4867091948449927,0.51253400771613078,0.52377896012860237,0.53378481641777009,0.54982729418102638,0.00016836376126899976
t_subj.2046,0.032130071780609976,0.0087985455012130499,0.014297657839276695,0.026144328619564547,0.032428055706894818,0.038477727949539325,0.048563399742330191,0.00010662056246947187
t_subj.2047,0.21956037922783209,0.021420767157008341,0.17342985712250208,0.20628031794503715,0.22128800492356143,0.23484359246522196,0.25645895508013128,0.00022020627590756963
v_Intercept,0.092466487376273415,0.056779947067029143,-0.019054578459222378,0.054764178066683711,0.092142618209616597,0.1299800121165981,0.20626224417478459,0.00077969026458849303
v_Intercept_std,0.29271996674479772,0.043264507962882184,0.22032941146874596,0.26213294168416118,0.28870163566560447,0.31823526212235287,0.38855431524799944,0.00044535975822282024
v_Intercept_subj.2013,0.15947996810078882,0.071128013469940229,0.021017646802559881,0.11132997458399867,0.15857340667770772,0.20867143368142055,0.2949405720088617,0.0008317233738179804
v_Intercept_subj.2015,0.63640129916213717,0.086651497300785515,0.46562613346646314,0.57753821591901933,0.63846222621990556,0.6956983416973076,0.8039230762711076,0.00099154320575108815
v_Intercept_subj.2016,0.24993948945869524,0.085413114703389442,0.082215236174902381,0.19220744174853852,0.24937419921740908,0.3068098152174934,0.41639834986169177,0.0010404230357678502
v_Intercept_subj.2017,0.25199491436301985,0.070918011359043007,0.11403232296294626,0.20400700054721613,0.25265042808437022,0.29932621044817243,0.39083761588213389,0.0009422496285936817
v_Intercept_subj.2018,0.2713111988645463,0.076499502969742589,0.12142806468456406,0.21981375025336944,0.27157911980924609,0.32269467271376695,0.42048628942556154,0.00093135397046582543
v_Intercept_subj.2019,0.34950945234825898,0.076465176737403412,0.19870136786348838,0.29892883224293487,0.35005815269452434,0.40098639552054394,0.50018382428233077,0.00092409121703226969
v_Intercept_subj.2020,-0.14518954563354802,0.069697481285423718,-0.28672555339562839,-0.19150141284612715,-0.14512871159050983,-0.097388478836308551,-0.0083005032632604836,0.00088240113632317746
v_Intercept_subj.2021,-0.10569197224842924,0.069210661796455256,-0.23975844583634348,-0.15258648684385706,-0.105146006688076,-0.059131664721509214,0.029654231021996269,0.00083253435224994764
v_Intercept_subj.2022,-0.3838268700916459,0.071920844647037185,-0.52518451112131992,-0.43179009729799922,-0.38401082390319252,-0.33474049757992197,-0.2421639765617381,0.00089142591816276907
v_Intercept_subj.2024,0.041483718692024531,0.078736339952016676,-0.11122733770597418,-0.011790439106266197,0.041894326088452616,0.094708595461633516,0.19656126008973651,0.0011534371832755711
v_Intercept_subj.2027,0.12148518942915737,0.082880854152430017,-0.039317785913950229,0.065387826693055123,0.12216095899549402,0.17813970450762417,0.28254125541308084,0.0011517776043253973
v_Intercept_subj.2028,0.32468341048536448,0.075588530173655147,0.17881054892691051,0.27379544333407607,0.32497619313488441,0.37451395045328273,0.47495504736168365,0.00091125220363488747
v_Intercept_subj.2029,-0.22413641250029634,0.080569321889376322,-0.38053504218473599,-0.27823722312674803,-0.22378266233549582,-0.1703068871744973,-0.067329750364743202,0.0010437013134998732
v_Intercept_subj.2030,0.071933854998076419,0.074173873168938698,-0.073525993165537831,0.022114010747647267,0.072346491406134805,0.12216339837071177,0.21822246419751351,0.00095831966594779714
v_Intercept_subj.2031,0.39854749833682773,0.086607504645374561,0.23036676814431445,0.34040656270671549,0.39826673061669138,0.45728146805914816,0.5672992359039799,0.00093502239829264451
v_Intercept_subj.2032,-0.12826539266245218,0.069356797835521539,-0.2629452651738291,-0.17572187116195342,-0.12764423499531641,-0.081088864216615014,0.0068138998353770019,0.00081415966713467244
v_Intercept_subj.2033,0.18751579803258886,0.099327484212788475,-0.0091788936172349511,0.12116904891993653,0.18745341172372851,0.25392603034221106,0.38512207537810289,0.001331576456426765
v_Intercept_subj.2034,0.13573062845117603,0.070992398313309821,-0.0015717093181912278,0.086752636361296862,0.13588973207201405,0.18372335551086205,0.27498249995437513,0.0008576211006018807
v_Intercept_subj.2035,0.43005083244956599,0.074087125624287112,0.2850159210559301,0.3805622686503734,0.43027898287286215,0.48053789376029321,0.57424499263705886,0.00094503230033020043
v_Intercept_subj.2036,-0.13226043683514074,0.074990978693029245,-0.28077831018253141,-0.182739438163011,-0.13221094686910892,-0.081682803359940548,0.016627808407909228,0.00082021642818150069
v_Intercept_subj.2038,0.48757449052555712,0.084443944516050404,0.32077184870415415,0.4298997631688285,0.48720342481604328,0.54581009034675576,0.65355052624129628,0.0011368799226499798
v_Intercept_subj.2039,0.33900988757818512,0.085245370505047685,0.17099140757735554,0.28090591475734678,0.33921636649521358,0.39720202225243051,0.50536949274058252,0.0011612852587028258
v_Intercept_subj.2040,0.30457491338139892,0.073808486549864688,0.16023093729212887,0.2551880584086812,0.30381079824225643,0.35357369645527104,0.45188909877490852,0.00088950243257174667
v_Intercept_subj.2041,-0.21454320415811493,0.072060605821440055,-0.35431845962507963,-0.26264904101183711,-0.21528686944315617,-0.16650497360133359,-0.069521736170340132,0.00098068285245423792
v_Intercept_subj.2042,-0.14468234467409222,0.071970116053626049,-0.28389361988537748,-0.19319268019584615,-0.14395828501453445,-0.095657508289101356,-0.0023305680682949026,0.00099277280767168154
v_Intercept_subj.2043,-0.098117724599583969,0.074326788911355177,-0.24481409505031507,-0.14824904111970727,-0.098491651952128945,-0.048878054308644836,0.047943879156112867,0.00084995839625251826
v_Intercept_subj.2044,8.2769367101519017e-05,0.078689010585204791,-0.15111492699786849,-0.054246241231385467,-0.0014485080530533892,0.054065871386273362,0.15436382108080082,0.00090618120047680707
v_Intercept_subj.2045,-0.53173557004788208,0.086902030176971901,-0.70092096346516874,-0.59006945971743219,-0.53218798844788062,-0.47335905816502655,-0.35926286237729393,0.0010764388440063948
v_Intercept_subj.2046,-0.01848453007442474,0.063754515348304758,-0.14270916424562496,-0.062086222191732141,-0.018812885201011292,0.024533895842537651,0.10708873299916843,0.00090635100943697834
v_Intercept_subj.2047,0.10589700693128065,0.071347019852528851,-0.035055166612183636,0.058967805708876109,0.10535350416130054,0.15381105905186288,0.24779689640464633,0.00087444221675373292
v_condition,0.12079950272340102,0.037478549827579824,0.047374697468719744,0.096356578403120396,0.12055317875822441,0.14566209390959528,0.19578950902228251,0.00035816636787592188
v_condition_std,0.18864384379936028,0.03095452372694828,0.13554364572128044,0.16716196484068557,0.18590380166192227,0.20715721924025687,0.25800222416970742,0.00034291931809628972
